Protein,Hash_Key
Protein_1,3afb8cbae6c1e3fcb25f6e52780d1b3f8d7c4d48e1de651f3950180851c87ecd
Protein_2,efbd1907f67351abd50bfba021d4fdd43c5e5329f75123bcfde4bcdef0151197
Protein_3,25d590f817bfaa2c4740c5b4378d5753634aff4bde905eb9e2fa4457ad2831b7
Protein_4,a55bda3cfaee556a5bc933c1b608e065d736d91de9fef2d016c1869aec5dad13
Protein_5,f057d135b4023556aa7493153d58e59411d3f31632c0555e67850a6b1b76c293
Protein_6,9cbff8e43055f4b3d3d4af10f0fec5c240add4be85214df7317eb95628d51b8f
Protein_7,b55daad2a8432ff9d13867fe52c687b91ba1ba0cdbdad3be6d6fcef281297f98
Protein_8,e3e717d0f3fc6d4e6122479bc4c7632149584a1f12f4f1e0617beac3b65cf7b6
Protein_9,c02078361a2129b596e9a947bc50767c31fdf1ed43fa99807fff5fdadd970834
Protein_10,a58d73087cf60f802fb511eee102e9658f9dcefd2c6fc19d5c2b8b23c63cce36
